Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,26.2877904,23.5106211,23.4723617,21.2442702,21.7827865,21.6637858,21.6583487,24.0335589,24.0573058,25.0303745,28.2258568
Albania,ALB,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,70.3506685,68.0342241,68.7294282,68.6928685,68.4601043,65.9691253,65.8092347,66.3035591,66.0915577,66.3155692,66.243999
Algeria,DZA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,45.7908836,47.9651356,46.6846903,50.0169672,55.0130534,47.7447231,50.7988142,50.5039858,52.1017611,53.3951013,54.0467968
American Samoa,ASM,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,87.4702977,87.4300005,87.3296631,87.3419568,87.4284341,87.1971851,87.1872948,87.148494,87.2152796,87.2261384,87.2981254
Andorra,AND,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,88.6281722,88.5970547,88.5195742,88.5290665,88.5958436,92.3515614,92.3436526,92.3126307,92.3660278,92.3747104,92.2648945
Angola,AGO,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,57.1993992,56.3440261,58.4702515,56.7179099,58.96248,58.7080974,54.9149657,52.3383191,56.6462987,60.5450271,56.0964488
Anguilla,AIA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,86.8491697,86.8224472,86.7559127,86.764064,86.8214087,86.8386201,89.5659231,89.5288321,89.5926763,89.6030567,89.4717573
Antigua and Barbuda,ATG,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,81.9376032,81.5439286,78.5409713,76.3931377,79.3888593,81.5566579,81.5492154,81.5200195,84.320676,84.3288462,84.2254939
Argentina,ARG,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,65.6687607,65.3668058,69.1957678,69.9838411,67.9516636,66.8707383,66.8381534,67.4693134,66.8790416,65.539658,62.9948599
Armenia,ARM,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,61.8660138,63.5155345,59.239383,60.7427842,65.8279441,67.0622606,60.8795173,57.3211381,59.8197748,57.3152603,53.5393178
